course_id,ualberta_user_id,course_grade_ts,course_passing_state_id,course_grade_overall_passed_items,course_grade_overall,course_grade_verified_passed_items,course_grade_verified
"99SZyjVxEeW6RApRXdjJPw",906c3bf908764a1620c726df4c458e1a7e6ced00,2016-04-28 17:48:33.651,2,16,0.969183,16,0.969183
"99SZyjVxEeW6RApRXdjJPw",30aed64d0960c96ea61c1b0d0f965d31826b1db1,2016-04-21 02:12:02.201,2,16,0.989444,16,0.989444
"99SZyjVxEeW6RApRXdjJPw",d084fea979a6a6baca6070e56c76bb8097ba2505,2016-04-19 10:03:27.061,1,16,0.979615,15,0.944615
"99SZyjVxEeW6RApRXdjJPw",292bb77f88e9e2e02bede607af6fef32b40508b6,2016-04-22 16:54:56.609,2,16,0.967548,16,0.967548
"99SZyjVxEeW6RApRXdjJPw",c93a37897f7526bcffde670557e018ac650d45fb,2016-04-21 08:12:05.218,2,16,0.991667,16,0.991667
"99SZyjVxEeW6RApRXdjJPw",3e6f39256a7f8bf12ee99ec7adb29748caa8a02c,2016-05-01 13:39:57.817,2,16,0.959183,16,0.959183
"99SZyjVxEeW6RApRXdjJPw",44ffb6b40685b29c98f0667291b67ff413d2e1b8,2016-04-27 21:10:16.079,2,16,0.94286,16,0.94286
"99SZyjVxEeW6RApRXdjJPw",26060cd77f02bfdf1fbaec0be4f0fd9d0bdbd14c,2016-06-15 14:24:48.11,2,16,0.951367,16,0.951367
"99SZyjVxEeW6RApRXdjJPw",1bcd9020899ceeb91c7355f90c182df6290779c7,2016-04-24 19:22:20.078,2,16,0.928835,16,0.928835
"99SZyjVxEeW6RApRXdjJPw",46fd3143c973228b583e66f3b7c489bb2f0b1dfd,2016-04-25 17:32:56.174,2,16,0.956319,16,0.956319
"99SZyjVxEeW6RApRXdjJPw",c382daca44b3feab4ada1ca43dc5baa588ecd0c6,2016-06-30 00:12:01.586,2,16,0.9245,16,0.9245
"99SZyjVxEeW6RApRXdjJPw",65e2bc073a15e24da94b6a64fc2d5a5ef09b5c4b,2016-04-29 12:38:51.05,2,16,0.900534,16,0.900534
"99SZyjVxEeW6RApRXdjJPw",ebc0274138fc0b8514d59e112bc735ae9521e5d6,2016-07-05 16:24:53.805,0,,0.03,,0.03
"99SZyjVxEeW6RApRXdjJPw",4b871beb636d4cfc41928938fce7f713665987ea,2016-03-28 15:01:17.502,2,16,0.957784,16,0.957784
"99SZyjVxEeW6RApRXdjJPw",39011d9b41e938a7321891ee47d6566d6717a0a3,2016-05-02 21:41:24.275,2,16,0.985417,16,0.985417
"99SZyjVxEeW6RApRXdjJPw",1992da99878f7df15dfb2d75d6fd9ff99d26d0b8,2016-07-23 19:56:42.51,0,,0.03,,0.03
"99SZyjVxEeW6RApRXdjJPw",de984a104f2ddae8b12a659c3c19d3ba94faecd9,2016-04-19 21:08:00.991,2,16,0.979444,16,0.979444
"99SZyjVxEeW6RApRXdjJPw",6d5ac1b41b0f2de2f77cd30425091f464e5ad9ce,2016-06-10 18:45:34.159,0,7,0.485909,7,0.485909
"99SZyjVxEeW6RApRXdjJPw",4e45f0b8241723838337574dcf1fba2ce1779422,2016-06-27 21:07:32.212,2,16,0.978542,16,0.978542
"99SZyjVxEeW6RApRXdjJPw",3593a65579063d7c9847fc496a8598278a3020b0,2016-04-24 20:07:00.901,0,15,0.848974,15,0.848974
"99SZyjVxEeW6RApRXdjJPw",e999c1efd7d37ec696f38a8064935627b6287407,2016-04-29 11:07:32.708,2,16,0.938974,16,0.938974
"99SZyjVxEeW6RApRXdjJPw",d9b4de214ed4500f1051a005e9cd7daef3d2b665,2016-06-30 07:43:16.644,2,16,0.930308,16,0.930308
"99SZyjVxEeW6RApRXdjJPw",e40ba0352307dae31c01e299c1a5b01ba5a067d0,2016-06-26 19:37:23.595,2,16,0.995,16,0.995
"99SZyjVxEeW6RApRXdjJPw",7cd75a7e9d1e946623abc16b87944343d4e2b1d2,2016-04-28 19:39:39.32,2,16,0.969444,16,0.969444
"99SZyjVxEeW6RApRXdjJPw",2cccee7343a8b23c15bbf55e3556f9bc4f8620d3,2016-04-26 18:19:01.115,1,16,0.970909,15,0.870909
"99SZyjVxEeW6RApRXdjJPw",eb797c60bc02c426f98c892e5c2cc35df2deee1b,2016-06-27 02:13:20.625,2,16,0.904474,16,0.904474
"99SZyjVxEeW6RApRXdjJPw",954b988b4f55ee85442385d7352f98a77100019f,2016-06-27 00:05:02.278,2,16,0.964177,16,0.964177
"99SZyjVxEeW6RApRXdjJPw",aadd33ba8fd91276db3019e3fbf7ae88dc238780,2016-05-04 22:50:52.384,2,16,0.914219,16,0.914219
"99SZyjVxEeW6RApRXdjJPw",6c205d4cbc5f98b12b9ab1c29d541e5fdb45b168,2016-04-07 17:17:37.739,2,16,0.99,16,0.99
"99SZyjVxEeW6RApRXdjJPw",7ff5c975d46197d0d71c9189a7fef12b17c56c57,2016-06-24 17:03:58.467,2,16,0.986875,16,0.986875
"99SZyjVxEeW6RApRXdjJPw",6f1653e86989d53137113dc1947e508a1ddeb91d,2016-06-22 21:02:11.522,2,16,0.956319,16,0.956319
"99SZyjVxEeW6RApRXdjJPw",20079152e99a67c222ec6f97d65142ff3d898a26,2016-07-03 09:40:01.627,0,,0.03,,0.03
"99SZyjVxEeW6RApRXdjJPw",9cc5cba9df6bc2c7d13e45d7f2d9268f97774087,2016-06-22 22:02:01.688,2,16,0.97375,16,0.97375
"99SZyjVxEeW6RApRXdjJPw",82e7d0483437b4794db55689884674dd8d44c69e,2016-06-30 20:17:07.513,2,16,0.922222,16,0.922222
"99SZyjVxEeW6RApRXdjJPw",17d8eea231b6c162b850971ec1f1a5b5abcfb9b7,2016-04-25 12:23:21.86,2,16,0.933841,16,0.933841
"99SZyjVxEeW6RApRXdjJPw",b16482826819c23ef872aba7f5971ec5da54e572,2016-04-28 19:39:37.031,2,16,0.991875,16,0.991875
"99SZyjVxEeW6RApRXdjJPw",32aa84e4a02debf47c5c970add7564cddd7a261a,2016-06-07 16:18:26.807,2,16,0.967062,16,0.967062
"99SZyjVxEeW6RApRXdjJPw",bcecfcac634cb01aeac08d449cca72800e22fff8,2016-04-26 05:00:03.694,2,16,0.986875,16,0.986875
"99SZyjVxEeW6RApRXdjJPw",964bf91b80b7fee3a20c6e1d9c625185ed12deae,2016-04-26 20:30:52.799,2,16,0.959615,16,0.959615
"99SZyjVxEeW6RApRXdjJPw",067122811942ae2b95daf9950498b5271222df30,2016-04-09 10:15:37.159,2,16,0.98,16,0.98
"99SZyjVxEeW6RApRXdjJPw",449ac22074e82284c9817a6dc611077ad5507abd,2016-03-29 03:32:36.665,0,1,0.1,1,0.1
"99SZyjVxEeW6RApRXdjJPw",24643136031f32552c719eddcacb73adeccfb572,2016-04-26 15:02:36.581,2,16,0.99,16,0.99
"99SZyjVxEeW6RApRXdjJPw",b28912e783ffafb22501c685fa381e6bf1e35b3d,2016-07-30 03:45:09.024,0,,0.03,,0.03
"99SZyjVxEeW6RApRXdjJPw",c6d1a592e61956c3236383c8d761cb965c327ce8,2016-05-04 07:38:18.409,2,16,0.98519,16,0.98519
"99SZyjVxEeW6RApRXdjJPw",2cacdf35f9688dc4ad92163e950a787ee0fc5bf0,2016-05-02 21:13:46.802,2,16,0.998438,16,0.998438
"99SZyjVxEeW6RApRXdjJPw",dd890c2b4e7f96fee01a0a9ffe2537cbc7d8b9bb,2016-08-02 17:47:04.805,0,,0.03,,0.03
"99SZyjVxEeW6RApRXdjJPw",178f8dee32620a7eaa900785edf5ab63b2fc3426,2016-06-28 17:57:23.485,2,16,0.975909,16,0.975909
"99SZyjVxEeW6RApRXdjJPw",f2f13edc966290fbeaecbb4e831f01076befc095,2016-04-28 18:12:57.86,2,16,0.950173,16,0.950173
"99SZyjVxEeW6RApRXdjJPw",f62374565337415b48d92fb10a7ef5ab788c26c1,2016-06-27 15:10:43.757,2,16,0.968542,16,0.968542
"99SZyjVxEeW6RApRXdjJPw",01bc70d5026d3bfb9eb2c1b4556b2943cac6cba4,2016-06-30 20:51:04.199,2,16,0.964909,16,0.964909
"99SZyjVxEeW6RApRXdjJPw",1cac51549e644cd5f5c82534bbf2c96628d51946,2016-04-10 06:41:22.836,2,16,0.992308,16,0.992308
"99SZyjVxEeW6RApRXdjJPw",7e5c3742d0faa01f712c3641159fb12eb24be890,2016-04-27 06:56:42.341,2,16,0.943186,16,0.943186
"99SZyjVxEeW6RApRXdjJPw",a231bc530eb5134f27b68da1a9d965c486f993c9,2016-04-04 19:32:30.10,0,1,0.1,1,0.1
"99SZyjVxEeW6RApRXdjJPw",614cbd072ac04b0673505bd9660986d0af34fbd1,2016-05-02 10:17:45.329,2,16,0.982308,16,0.982308
"99SZyjVxEeW6RApRXdjJPw",b857f7ea7ca923fe514a17cd6e9931a65561bb92,2016-04-29 17:11:09.881,2,16,0.991667,16,0.991667
"99SZyjVxEeW6RApRXdjJPw",77546b39a0073b6691fda0c4e5850f0ee708d39d,2016-07-20 14:33:49.256,0,,0.03,,0.03
"99SZyjVxEeW6RApRXdjJPw",ae31738dd26066eb49b31d962b9abfaf42433db3,2016-04-28 21:20:55.958,2,16,0.954451,16,0.954451
"99SZyjVxEeW6RApRXdjJPw",ac1f8ff5c4392f7a96c1a71a2b50bc2f1ad1affb,2016-04-29 16:43:27.369,2,16,0.995,16,0.995
"99SZyjVxEeW6RApRXdjJPw",70a1877a7727bc9a4623f69bc14e3223d40fa19c,2016-03-28 22:30:14.259,2,16,0.975,16,0.975
"99SZyjVxEeW6RApRXdjJPw",2321b9f9c812aa9fac7a81cb742954078d9bc35f,2016-04-15 00:17:41.37,0,14,0.895,12,0.795
"99SZyjVxEeW6RApRXdjJPw",524cbbedb353902d0bb8be76d582d0ff49e9a82f,2016-06-18 04:04:23.372,2,16,0.970833,16,0.970833
"99SZyjVxEeW6RApRXdjJPw",daf173beefb39e0a95bc1b974316ec62441aff6e,2016-04-18 00:38:28.339,2,16,0.985,16,0.985
"99SZyjVxEeW6RApRXdjJPw",22db525d19c40109e5937f27f0db64b78177e765,2016-05-04 17:46:41.69,0,15,0.891131,15,0.891131
"99SZyjVxEeW6RApRXdjJPw",4fa8499f8af14268bc74d88ff7818f3ad4a34792,2016-04-28 20:11:11.499,2,16,0.93357,16,0.93357
"99SZyjVxEeW6RApRXdjJPw",cf39963ccd2f67341edc49785608dca5d4b938b3,2016-04-30 16:58:44.478,2,16,0.996875,16,0.996875
"99SZyjVxEeW6RApRXdjJPw",090bd9a1233d39e2537d665b7ad6cf91821529e4,2016-07-10 15:19:43.697,0,,0.03,,0.03
"99SZyjVxEeW6RApRXdjJPw",ad816281784ebccc4419d6c4e5de8b25345272d6,2016-05-02 17:19:22.094,2,16,0.944375,16,0.944375
"99SZyjVxEeW6RApRXdjJPw",142a283e1bc6a30a1e5afcbfef01b8d18952177f,2016-06-21 17:06:01.565,2,16,0.941852,16,0.941852
"99SZyjVxEeW6RApRXdjJPw",86d2160344cc09988fb7f7b5984f36247fcb786b,2016-05-02 16:21:22.784,2,16,0.97762,16,0.97762
