ualberta_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
03dbee69c8d134fd255ad4b1311d6850e3877c9c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
38bcb39a07a9d00347aefd70262c149d59d30431,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
e8d55991db7acfe07d800a679c11098364f2a57e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
dce44e5ad024c276ddb5f54b4b83a29f0278b25f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
7924ab625dca45cf4b226a7eadf5f042a1973300,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
681877a22c6e986a48a6d1bed8171bd776d28da6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
17786ed0a327e0dd8f0431ed1377081c81236b9e,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
954b988b4f55ee85442385d7352f98a77100019f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
77d53bcef4e9d2e32722972c3e5208070defa5d5,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
94d010f86db9e7b3074678d95ee2fadffbe62155,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
e8dc19591f03f365f292fb0fc79dcc2568f896ed,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
46fd3143c973228b583e66f3b7c489bb2f0b1dfd,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
86d2160344cc09988fb7f7b5984f36247fcb786b,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
178f8dee32620a7eaa900785edf5ab63b2fc3426,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ac4836b90f211bfa23ac26df908ae4535142929d,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
459c800d999abfdae3173ef170fed9749c20fff8,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
4fa8499f8af14268bc74d88ff7818f3ad4a34792,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
11132d7a81620ee3a8313593903b901a324cff79,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
b6ba4220f3476ab0378b9910937308931b59c5d2,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
dbe2ec57e6060edc7e5c21f837f1e7ae047039b5,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
