ualberta_discussions_user_id,course_id,discussion_question_id,discussion_question_following_active,discussion_question_following_ts
09496afbb7d49e39d2853bf4d6e66985e6c73021,"99SZyjVxEeW6RApRXdjJPw","PpTYuvAgEeWB0QpuSDkq-Q",t,2016-03-22 11:21:38.486
043e421e16f4ba10ff7475b0b5e0537394f34804,"99SZyjVxEeW6RApRXdjJPw","JxK0RgSEEeaQlgqeW2LgFQ",f,2016-04-17 18:58:42.451
043e421e16f4ba10ff7475b0b5e0537394f34804,"99SZyjVxEeW6RApRXdjJPw","JxK0RgSEEeaQlgqeW2LgFQ",t,2016-04-17 18:58:32.492
043e421e16f4ba10ff7475b0b5e0537394f34804,"99SZyjVxEeW6RApRXdjJPw","JxK0RgSEEeaQlgqeW2LgFQ",t,2016-04-17 18:58:43.138
83d3a4d57c7e446d61f2c842a605d58f1370abaa,"99SZyjVxEeW6RApRXdjJPw","JxK0RgSEEeaQlgqeW2LgFQ",t,2016-04-17 10:07:11.947
3715911e579c956d742f370a89b8689d54a83834,"99SZyjVxEeW6RApRXdjJPw","S7Lv_gvbEea84w5Krj7Aqw",t,2016-04-26 18:18:37.767
9a36f1310b3a1d3be063851a6233e00bbe961469,"99SZyjVxEeW6RApRXdjJPw","JxK0RgSEEeaQlgqeW2LgFQ",t,2016-04-28 13:27:42.794
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","JxK0RgSEEeaQlgqeW2LgFQ",t,2016-04-18 23:01:10.244
34b25dd8fc84e1e1b9533abe44c167aeea7daed3,"99SZyjVxEeW6RApRXdjJPw","lTb2EiltEeaaVA48G_0dEQ",t,2016-06-03 09:28:51.34
3e568595f32035978a48487f890cadcab4c4f694,"99SZyjVxEeW6RApRXdjJPw","VLJLGD4IEeaXnBKVQldqyw",t,2016-06-29 14:46:58.344
6f8900fe2d853cb7f41a1d005a7f52d5b133911f,"99SZyjVxEeW6RApRXdjJPw","pXBZVTBMEea3ThLvjcf5Xw",t,2016-06-12 03:20:43.29
6700e41cae180eae210f8c531484fe3283ad6ee4,"99SZyjVxEeW6RApRXdjJPw","qbZHdwTREeauAAp_SRa7YQ",t,2016-04-17 19:22:02.376
9a36f1310b3a1d3be063851a6233e00bbe961469,"99SZyjVxEeW6RApRXdjJPw","qbZHdwTREeauAAp_SRa7YQ",t,2016-04-28 13:29:44.599
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","qbZHdwTREeauAAp_SRa7YQ",t,2016-04-18 23:17:06.176
2a4fd5d97b931e2a61745d6db234f0d9eb641b6e,"99SZyjVxEeW6RApRXdjJPw","3Omp4DdJEeaKiRJh72RApw",t,2016-06-26 08:30:04.594
b6b508a553c35772899516c261c3949dc486c0a0,"99SZyjVxEeW6RApRXdjJPw","3Omp4DdJEeaKiRJh72RApw",t,2016-06-21 00:48:26.02
4bc0e35afd57eb38a2299ab64b6cb9ea4bc295aa,"99SZyjVxEeW6RApRXdjJPw","3Omp4DdJEeaKiRJh72RApw",t,2016-06-23 07:21:33.182
