ualberta_discussions_user_id,course_id,discussion_answer_id,discussion_answer_vote_value,discussion_answer_vote_ts
0b6155f11b5edccab7a0e655818e6137671a1b4a,"99SZyjVxEeW6RApRXdjJPw","yaAPNv5lEeWJIg651qnFcw",1,2016-04-09 16:22:05.906
4bf547da3825a4074b7d575eba0514cbae2d1f46,"99SZyjVxEeW6RApRXdjJPw","AyAIRA1ZEeaqig5uXwUeGw",1,2016-05-08 02:55:29.328
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","Bv2bw_7OEeWJIg651qnFcw",1,2016-04-10 07:53:47.405
e4fd1fd6a3e6f27f2b4700f09199b615fca8560e,"99SZyjVxEeW6RApRXdjJPw","AyAIRA1ZEeaqig5uXwUeGw",1,2016-04-28 15:56:08.237
30b8d3d0604a8f7b150fcab6ed67ce5937647901,"99SZyjVxEeW6RApRXdjJPw","5EOYITlUEeaIhBLoYw6bKw",1,2016-06-23 15:35:51.987
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","I1AEpwWDEeaQlgqeW2LgFQ",1,2016-04-18 23:33:40.257
a590c973b734fda6bfd87087103326408795dea7,"99SZyjVxEeW6RApRXdjJPw","CK2g7CHBEeaG3QqLdYDICw",1,2016-05-27 13:22:35.33
5449674cafb4d91701b5a2baed615a859fef826d,"99SZyjVxEeW6RApRXdjJPw","JKlNnvkWEeWRJQquNiz-Jw",1,2016-04-02 21:03:12.998
eca453e58264b7cf8ed10de5d650a5e1b7507fc8,"99SZyjVxEeW6RApRXdjJPw","N-vKxP2sEeWW0grgb0UTkQ",1,2016-04-09 16:31:11.595
081ef5e9a6d66f078e27081c4491848f59961fc5,"99SZyjVxEeW6RApRXdjJPw","2hQ-3Q1gEea44Qp49aJR6w",1,2016-04-29 06:17:05.179
35b90de86c7237d5c3527899b78d701343fbf0d7,"99SZyjVxEeW6RApRXdjJPw","RqvKeDfEEeaJAAqDwR2raQ",1,2016-06-27 01:44:20.544
bb9cb045d9c2e2b1884e2c8884d096db2e784a16,"99SZyjVxEeW6RApRXdjJPw","JZ1Xy_qjEeWs9Q5ernAFuQ",1,2016-04-06 07:56:50.643
bb9cb045d9c2e2b1884e2c8884d096db2e784a16,"99SZyjVxEeW6RApRXdjJPw","JZ1Xy_qjEeWs9Q5ernAFuQ",0,2016-04-06 07:56:48.029
bb9cb045d9c2e2b1884e2c8884d096db2e784a16,"99SZyjVxEeW6RApRXdjJPw","JZ1Xy_qjEeWs9Q5ernAFuQ",1,2016-04-06 07:56:47.073
9d9ccdb9cdf1e880351fc7ed15e34d2ec8cc3975,"99SZyjVxEeW6RApRXdjJPw","dDy7yPdbEeWTnRIwzGCJxQ",1,2016-03-31 19:49:42.517
6918a6e53d989bc484eea9db210f2f6783e08fb8,"99SZyjVxEeW6RApRXdjJPw","8a0tsA4REea84w5Krj7Aqw",1,2016-05-05 11:46:34.506
c98abd56294c185e8388332d68e81bf757485079,"99SZyjVxEeW6RApRXdjJPw","zkqkhPabEeWqQwq9khhH1Q",1,2016-04-01 07:37:04.116
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","jU8XMvCsEeWPKQpBKpg03Q",1,2016-03-27 22:47:52.02
35b90de86c7237d5c3527899b78d701343fbf0d7,"99SZyjVxEeW6RApRXdjJPw","Lp-vPDt4EeaVABKtWz_zNw",1,2016-06-27 01:44:29.554
