course_id,course_item_id,ualberta_user_id,course_quiz_grade_ts,course_quiz_grade,course_quiz_max_grade
"99SZyjVxEeW6RApRXdjJPw","vG7i3",14a0ec1d9c8518560ffb1692825aabe62e692e39,2016-04-06 17:37:55.007,9,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",9ffd7888919dab4a44c4f00712bad45cf8fd0d4d,2016-04-06 12:34:39.621,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",6e96348bfdc55dd5bba4f48d369a2a79472fb652,2016-04-10 23:08:12.832,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",ea92f5358a358a5e19f8ad87e4953c68a9e31f1b,2016-03-25 04:37:21.963,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",2b60abdb9e462a7e919a0a157b1883de87b5afaa,2016-04-06 16:08:01.465,9,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",6d96514c60abacfc791902a7a83694053ec81307,2016-06-03 21:36:56.643,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",794f2e178f117e94e588771d85757adff34b35d6,2016-04-11 01:37:00.293,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",9844931f519487edb6908149aca757136876219a,2016-03-30 19:47:27.673,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",17786ed0a327e0dd8f0431ed1377081c81236b9e,2016-04-15 20:08:23.909,9,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",adde4a5aaffb067ab0ee645a1911c219ed0d49a4,2016-04-04 10:54:04.223,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",91320e05ba5e68c8fea7196cb0c691658524b5e8,2016-04-07 23:24:01.783,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",d67fb25119c25f1887a97fa0c6afa5be167d5cdc,2016-06-08 15:30:08.655,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",2d7c424d87fee0bd914ce746efb4e1538f100f0a,2016-04-08 01:27:55.12,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",cdbfad56cd65901abe9e16394dcec34d50e08f8d,2016-04-10 00:15:13.09,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",787261f39333409e37075e9aa4fc94a5d90c46d1,2016-04-05 00:11:10.303,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",7c46cb2efb2b7ce717c351b05ee79f12c8cbd597,2016-04-05 02:06:04.564,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",5ca3947bed068e2b63f5d89cda2fda7bcb54d77f,2016-04-10 22:06:57.194,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",3c54cf715ede0748da9207a33b9aa1020f61d1db,2016-04-09 08:19:46.914,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",103b30863af98ec477796f31fe30249dd2787400,2016-06-05 21:14:25.123,9,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",5956fe3bdd6c58f371cc4776ddf211ce3b9a1dcc,2016-04-07 07:03:48.767,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",ff66a8968a85e1f119d2e969090025eba37b796c,2016-04-10 11:41:59.217,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",11fba5fd1aa32d27bd911cec14913a0653bb2d78,2016-06-06 01:35:36.16,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",bb545c162e5a5b57956aca5609a6d6a974c16a3e,2016-05-26 16:41:13.246,9,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",c9a0ffa124406e16c7915789601b71de82b64aaf,2016-03-29 02:50:22.282,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",2672f8d47bac8ab6abd34eac03d9308843432f57,2016-04-01 22:15:49.022,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",26c7b409d1abcd33222a5bda06b0cb8ae0d2af31,2016-04-11 05:16:20.234,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",57205c9ca9f7ebc0cb0b8a309a224018997cb726,2016-05-21 19:20:29.559,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",314f0d627905930c6128f682316d48aad7000792,2016-03-27 22:53:46.433,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",54b8cf05b16509ae54ad882f1e27b5be9621483f,2016-05-28 23:07:24.239,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",d65d2a8efe5901a1947e7fbe0bf00373f87052b3,2016-04-06 11:37:24.303,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",6ae165351122fa780ad30dbd34a5f9d9a6ea0066,2016-04-04 23:31:42.812,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",46b94bac585bc4b5589c2d657b5a16cc9d516108,2016-05-31 04:59:46.57,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",9edfd5bb9260464bc41ae531aca61258cfd7ccaa,2016-06-02 05:48:10.566,10,10
"99SZyjVxEeW6RApRXdjJPw","vG7i3",dce44e5ad024c276ddb5f54b4b83a29f0278b25f,2016-04-06 19:49:29.735,10,10
