ualberta_discussions_user_id,course_id,discussion_question_id,discussion_question_vote_value,discussion_question_vote_ts
2299dc9ed1cd4a41cb06fd07b30f25a58282542a,"99SZyjVxEeW6RApRXdjJPw","8hL_Wgz5EeaNagrozOF-VQ",1,2016-05-01 17:04:14.62
86c417115a868bb7fe91be5644fea50e6cadafcd,"99SZyjVxEeW6RApRXdjJPw","jLzPGQAmEeabYhLNZ2H1QQ",1,2016-04-13 15:21:37.862
cc348a098a599643b005dac85b8e94c8cc64a4b6,"99SZyjVxEeW6RApRXdjJPw","gNJTGg6sEea63hJ3Ni_BAw",1,2016-04-30 18:26:56.577
bea24dfc80b39b27a850bbd2c528d124dfb7ea30,"99SZyjVxEeW6RApRXdjJPw","gNJTGg6sEea63hJ3Ni_BAw",1,2016-04-30 08:57:37.563
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","c7ONdfBoEeWK_Q7eN25hdw",1,2016-03-24 06:37:22.59
7d1514f61c47bc1fdd79498ac5de3c73c152546d,"99SZyjVxEeW6RApRXdjJPw","0gxm-_hIEeWqpApEWVJglQ",1,2016-04-08 14:26:57.01
4bc0e35afd57eb38a2299ab64b6cb9ea4bc295aa,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-06-23 07:35:31.363
2e83cea3855e68caec5e999ce06ee4d58e2326e7,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",0,2016-04-25 19:45:26.365
2e83cea3855e68caec5e999ce06ee4d58e2326e7,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-04-25 19:45:25.365
dd9a2d12db00f5270784fe27b42910a08104f330,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-05-04 03:19:27.125
6c3b2d218becc0fdcac9063050c3744283d3b95f,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-06-02 16:11:20.243
fe60a05847a372f1ec73ecb634c8cd0a836527c9,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-05-01 15:48:24.199
7d3bc40f98b9afca456ee1c11dcf4ef41809b3be,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-06-25 15:53:16.206
75620198b60fc34fc6fffd64bfc62b3cbe40d812,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-06-15 15:57:20.289
356715a2a6fc415b0d47f5b146b0b009dd1bfe6d,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-05-16 22:21:42.513
d28f091c79b20874b3b66b1c82e8eb7d9da1e956,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-05-16 15:03:14.711
d28f091c79b20874b3b66b1c82e8eb7d9da1e956,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",0,2016-06-17 07:34:39.75
6ca09c340e4f7574ab87c56bbf33e8c38ebe6573,"99SZyjVxEeW6RApRXdjJPw","eMpJoAr_EeaqFhJWgHcbtw",1,2016-06-06 18:47:00.727
bea24dfc80b39b27a850bbd2c528d124dfb7ea30,"99SZyjVxEeW6RApRXdjJPw","Cg52jA5uEeawWRJ2-Hqumw",1,2016-04-30 08:14:29.415
beabe353108996878f60246d098c825f90f2e6fc,"99SZyjVxEeW6RApRXdjJPw","rM15oPOSEeWB9gr2ttYzXQ",1,2016-03-27 19:26:42.077
aa61de94657760bda229d13249a4db92bacbd094,"99SZyjVxEeW6RApRXdjJPw","IkClC-_hEeWWORKcDoY1lQ",1,2016-04-06 04:25:38.399
bfa8e54b288d5172ccf4c039d5a83dab8ec0fd09,"99SZyjVxEeW6RApRXdjJPw","6I2m1v3FEeWu1Q5gvOuhYQ",1,2016-04-08 22:18:53.543
d36c362da40c175d99c0fb2ae8dbb75e6251f746,"99SZyjVxEeW6RApRXdjJPw","6I2m1v3FEeWu1Q5gvOuhYQ",1,2016-04-16 21:23:47.451
146b198edcc6dddd2a039a9c12f4856a2004c819,"99SZyjVxEeW6RApRXdjJPw","6I2m1v3FEeWu1Q5gvOuhYQ",1,2016-04-09 12:17:12.77
6de60a60add2d1417f5290847cc2d226d5302ab6,"99SZyjVxEeW6RApRXdjJPw","j0x6aQsDEeamMA4cfDGJIw",1,2016-04-26 10:13:44.908
958e31650db7e044db167e4d511eea5a5ebee126,"99SZyjVxEeW6RApRXdjJPw","j0x6aQsDEeamMA4cfDGJIw",1,2016-04-25 18:22:46.647
6ff0a31ba5ebb67e52ac1509984785fc4e0ad2a7,"99SZyjVxEeW6RApRXdjJPw","j0x6aQsDEeamMA4cfDGJIw",1,2016-04-26 02:13:22.905
8f9950cb895d649864081ea35478eacf9016b579,"99SZyjVxEeW6RApRXdjJPw","j0x6aQsDEeamMA4cfDGJIw",1,2016-04-30 19:07:08.544
65a0e6332fd5369d92869f79e34af62b7a894514,"99SZyjVxEeW6RApRXdjJPw","j0x6aQsDEeamMA4cfDGJIw",1,2016-04-26 11:56:15.988
38d7cc49bb2f3a13b55af9f19a52eb05742e818d,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-04-18 02:16:23.677
35b90de86c7237d5c3527899b78d701343fbf0d7,"99SZyjVxEeW6RApRXdjJPw","EY_yyfhAEeWnyw45DXyCTw",1,2016-04-10 00:49:04.695
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-05-02 05:09:41.842
62f2ccc73809aacc817b0853f6d8aac75c6e6cad,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-05-04 20:04:07.818
4a53a21cae1cae164486b91ebf5a16023401649f,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-04-26 16:25:27.977
cd7a04e6aa4e23d9c26c615e63de612652b7544d,"99SZyjVxEeW6RApRXdjJPw","p16UPDrfEeaQYwrcKTQWAQ",1,2016-06-25 17:18:00.464
6ff0a31ba5ebb67e52ac1509984785fc4e0ad2a7,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-04-26 15:54:30.016
a9796d8dcc9f104a593933c37a3206294842dc3a,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-04-17 00:09:48.658
5ee214b26b3b3693185eefe052a4363a39e63863,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-04-21 23:35:40.158
6de60a60add2d1417f5290847cc2d226d5302ab6,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-05-02 06:43:43.614
bea24dfc80b39b27a850bbd2c528d124dfb7ea30,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-05-07 17:27:56.183
4bf547da3825a4074b7d575eba0514cbae2d1f46,"99SZyjVxEeW6RApRXdjJPw","GUknGwQuEeawFQ5rY6ZGGQ",1,2016-05-08 02:54:58.559
57f8387d5fa450af6dfa638a661d63822c69bec4,"99SZyjVxEeW6RApRXdjJPw","zhHoqjMnEealng5zBIyoKQ",1,2016-06-15 21:27:32.30
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","alMAKf98EeWS4Ar9qFG8UQ",1,2016-04-12 07:51:48.329
9c545140ddfd04517d924377ab3c40a54cc7c9f6,"99SZyjVxEeW6RApRXdjJPw","ZapkwfFjEeWkUAr_DMJ5Lw",1,2016-03-27 09:27:57.235
9c545140ddfd04517d924377ab3c40a54cc7c9f6,"99SZyjVxEeW6RApRXdjJPw","Mo1-y_FBEeWPKQpBKpg03Q",1,2016-03-27 09:28:28.897
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","uhdi3fRvEeWi3hK4t5iOYw",1,2016-03-28 11:06:47.247
043e421e16f4ba10ff7475b0b5e0537394f34804,"99SZyjVxEeW6RApRXdjJPw","oCA7WA8XEea63hJ3Ni_BAw",1,2016-05-01 08:07:03.60
4a53a21cae1cae164486b91ebf5a16023401649f,"99SZyjVxEeW6RApRXdjJPw","oCA7WA8XEea63hJ3Ni_BAw",1,2016-05-02 13:00:36.043
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","qPp3-gDgEea4QQ6KgOwBaQ",1,2016-04-14 10:41:48.969
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","qPp3-gDgEea4QQ6KgOwBaQ",0,2016-04-14 10:41:47.261
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","qPp3-gDgEea4QQ6KgOwBaQ",1,2016-04-14 09:07:27.237
1dd040ecec4640dd9cb7aa7512cb32b9dd48a078,"99SZyjVxEeW6RApRXdjJPw","sp_f-QrhEeay7RIMsC5_hw",1,2016-04-25 19:47:28.124
1dd040ecec4640dd9cb7aa7512cb32b9dd48a078,"99SZyjVxEeW6RApRXdjJPw","sp_f-QrhEeay7RIMsC5_hw",1,2016-04-25 19:47:28.377
1dd040ecec4640dd9cb7aa7512cb32b9dd48a078,"99SZyjVxEeW6RApRXdjJPw","sp_f-QrhEeay7RIMsC5_hw",1,2016-04-25 19:47:28.31
1dd040ecec4640dd9cb7aa7512cb32b9dd48a078,"99SZyjVxEeW6RApRXdjJPw","sp_f-QrhEeay7RIMsC5_hw",1,2016-04-25 19:47:27.73
1dd040ecec4640dd9cb7aa7512cb32b9dd48a078,"99SZyjVxEeW6RApRXdjJPw","sp_f-QrhEeay7RIMsC5_hw",1,2016-04-25 19:47:27.405
1dd040ecec4640dd9cb7aa7512cb32b9dd48a078,"99SZyjVxEeW6RApRXdjJPw","sp_f-QrhEeay7RIMsC5_hw",1,2016-04-25 19:47:28.248
beabe353108996878f60246d098c825f90f2e6fc,"99SZyjVxEeW6RApRXdjJPw","8mPuMfA7EeWlJhJpbKSYeQ",1,2016-03-22 14:52:43.831
a0fa7d3a0e76f28b4e24fda70e779946908709d2,"99SZyjVxEeW6RApRXdjJPw","8mPuMfA7EeWlJhJpbKSYeQ",0,2016-03-22 18:34:12.613
a0fa7d3a0e76f28b4e24fda70e779946908709d2,"99SZyjVxEeW6RApRXdjJPw","8mPuMfA7EeWlJhJpbKSYeQ",1,2016-03-22 18:31:12.527
a0fa7d3a0e76f28b4e24fda70e779946908709d2,"99SZyjVxEeW6RApRXdjJPw","8mPuMfA7EeWlJhJpbKSYeQ",1,2016-03-22 18:34:13.668
80d125ff88c38e587f965562dbcd00c25773fb27,"99SZyjVxEeW6RApRXdjJPw","8mPuMfA7EeWlJhJpbKSYeQ",1,2016-03-23 09:51:06.318
6f8900fe2d853cb7f41a1d005a7f52d5b133911f,"99SZyjVxEeW6RApRXdjJPw","AXtdVzDYEeaoXg7YgQ2Cfw",1,2016-06-15 18:01:48.241
4a53a21cae1cae164486b91ebf5a16023401649f,"99SZyjVxEeW6RApRXdjJPw","WADEyQ2HEeaSqwpdV4Ekkw",1,2016-04-29 17:30:36.138
a68fe6837396b81ccab5a74aa30d235ebb5317d9,"99SZyjVxEeW6RApRXdjJPw","WADEyQ2HEeaSqwpdV4Ekkw",1,2016-04-29 20:31:54.066
d0364da043a5fe6de298986b916ce1eb11498887,"99SZyjVxEeW6RApRXdjJPw","s6t0MS7yEeakfw5ltszKlw",1,2016-06-12 13:05:35.631
10b58e5726aca57a86fecb62b9517d12a7a4a02b,"99SZyjVxEeW6RApRXdjJPw","SOjO8vUlEeWPyw7tSN6RVw",1,2016-03-29 07:09:58.106
62f2ccc73809aacc817b0853f6d8aac75c6e6cad,"99SZyjVxEeW6RApRXdjJPw","SOjO8vUlEeWPyw7tSN6RVw",1,2016-03-29 05:53:21.497
